Monthly,Beginning balance,Market change,Dividends,Interest,Deposits,Withdrawals,Net advisory fees,Ending balance
Aug 2024,"$100,000.00","$2,500.00","$250.00",$0.00,$0.00,$0.00,$0.00,"$102,750.00"
Jul-24,"$95,000.00","$4,200.00","$300.00",$0.00,"$5,000.00",$0.00,$0.00,"$100,000.00"
Jun-24,"$90,500.00","$3,800.00","$200.00",$0.00,"$2,000.00",$0.00,$0.00,"$95,000.00"
May-24,"$85,000.00","$5,200.00","$180.00",$0.00,"$1,500.00",$0.00,$0.00,"$90,500.00"
Apr-24,"$80,000.00","$4,100.00","$150.00",$0.00,"$2,500.00",$0.00,$0.00,"$85,000.00"
Mar-24,"$75,500.00","$3,900.00","$120.00",$0.00,"$1,000.00",$0.00,$0.00,"$80,000.00"
Feb-24,"$70,000.00","$4,800.00","$100.00",$0.00,"$2,000.00",$0.00,$0.00,"$75,500.00"
Jan-24,"$65,000.00","$4,200.00","$80.00",$0.00,"$3,000.00",$0.00,$0.00,"$70,000.00"
Dec-23,"$60,500.00","$3,800.00","$70.00",$0.00,"$1,500.00",$0.00,$0.00,"$65,000.00"
Nov-23,"$55,000.00","$4,500.00","$60.00",$0.00,"$2,000.00",$0.00,$0.00,"$60,500.00"
Oct-23,"$50,000.00","$4,200.00","$50.00",$0.00,"$2,500.00",$0.00,$0.00,"$55,000.00"
Sep-23,"$45,500.00","$3,800.00","$40.00",$0.00,"$1,000.00",$0.00,$0.00,"$50,000.00"
